cdid,PRODUCT,AREA,DIRECTION,BASIS,PRICE,SEASADJ,PERIOD
P42L,24.2,EU,EX,BOP,CP,NSA,Q
P483,24.2,EU,EX,BOP,CP,SA,Q
P4DJ,24.2,EU,EX,BOP,CVM,NSA,Q
P4IZ,24.2,EU,EX,BOP,CVM,SA,Q
P3EP,24.2,EU,IM,BOP,CP,NSA,Q
P3K7,24.2,EU,IM,BOP,CP,SA,Q
P3PN,24.2,EU,IM,BOP,CVM,NSA,Q
P3V5,24.2,EU,IM,BOP,CVM,SA,Q
P5CD,24.2,RW,EX,BOP,CP,NSA,Q
P5HT,24.2,RW,EX,BOP,CP,SA,Q
P5NB,24.2,RW,EX,BOP,CVM,NSA,Q
P5SR,24.2,RW,EX,BOP,CVM,SA,Q
P4OH,24.2,RW,IM,BOP,CP,NSA,Q
P4TX,24.2,RW,IM,BOP,CP,SA,Q
P4ZF,24.2,RW,IM,BOP,CVM,NSA,Q
P56V,24.2,RW,IM,BOP,CVM,SA,Q
P2QT,24.2,WW,EX,BOP,CP,NSA,Q
P2WB,24.2,WW,EX,BOP,CP,SA,Q
P33R,24.2,WW,EX,BOP,CVM,NSA,Q
P399,24.2,WW,EX,BOP,CVM,SA,Q
P24X,24.2,WW,IM,BOP,CP,NSA,Q
P2AF,24.2,WW,IM,BOP,CP,SA,Q
P2FV,24.2,WW,IM,BOP,CVM,NSA,Q
P2LD,24.2,WW,IM,BOP,CVM,SA,Q
P3XO,TOTAL,EU,EX,BOP,CP,NSA,Q
P456,TOTAL,EU,EX,BOP,CP,SA,Q
P4AM,TOTAL,EU,EX,BOP,CVM,NSA,Q
P4G4,TOTAL,EU,EX,BOP,CVM,SA,Q
P3BS,TOTAL,EU,IM,BOP,CP,NSA,Q
P3HA,TOTAL,EU,IM,BOP,CP,SA,Q
P3MQ,TOTAL,EU,IM,BOP,CVM,NSA,Q
P3S8,TOTAL,EU,IM,BOP,CVM,SA,Q
P59G,TOTAL,RW,EX,BOP,CP,NSA,Q
P5EW,TOTAL,RW,EX,BOP,CP,SA,Q
P5KE,TOTAL,RW,EX,BOP,CVM,NSA,Q
P5PU,TOTAL,RW,EX,BOP,CVM,SA,Q
