cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ
SDSX,2plus4,EU,BAL,BOP,CP,NSA
SGLO,5minus8,EU,BAL,BOP,CP,NSA
SFJC,7plus8,EU,BAL,BOP,CP,NSA
LKTX,TminusO,EU,BAL,BOP,CP,NSA
SDMS,0plus1,EU,BAL,BOP,CP,NSA
SESL,5plus6,EU,BAL,BOP,CP,NSA
SDTB,2plus4,EU,BAL,BOP,CP,SA
SGLP,5minus8,EU,BAL,BOP,CP,SA
SFJD,7plus8,EU,BAL,BOP,CP,SA
SDCR,TminusE,EU,BAL,BOP,CP,SA
LKTY,TminusO,EU,BAL,BOP,CP,SA
SHBF,TminusOE,EU,BAL,BOP,CP,SA
SDMV,0plus1,EU,BAL,BOP,CP,SA
SESM,5plus6,EU,BAL,BOP,CP,SA
LKVJ,TminusO,EU,BAL,BOP,DEF,NSA
SMFY,04plus08,EU,EX,OTS,CP,NSA
SETA,5plus6,EU,EX,OTS,CP,NSA
SDNA,0plus1,EU,EX,OTS,CP,NSA
SFMP,7plus8C,EU,EX,OTS,CP,NSA
SFSI,7plus8I,EU,EX,OTS,CP,NSA
SFXS,7plus8K,EU,EX,OTS,CP,NSA
SMWS,84plus85,EU,EX,OTS,CP,NSA
SLZY,87plus88C,EU,EX,OTS,CP,NSA
SMBY,87plus88K,EU,EX,OTS,CP,NSA
SJTK,68minusS,EU,EX,OTS,CP,NSA
LKUM,TminusO,EU,EX,OTS,CP,NSA
SEVO,6minusPS,EU,EX,OTS,CP,NSA
SGMD,5minus8,EU,EX,OTS,CP,NSA
SDTG,2plus4,EU,EX,OTS,CP,NSA
SIVM,57plus58,EU,EX,OTS,CP,NSA
SFJS,7plus8,EU,EX,OTS,CP,NSA
SMDY,87plus88I,EU,EX,OTS,CP,NSA
SMYS,87plus88,EU,EX,OTS,CP,NSA
SDDF,TminusE,EU,EX,OTS,CP,NSA
SHBT,TminusOE,EU,EX,OTS,CP,NSA
SIXM,56plus59,EU,EX,OTS,CP,NSA
SGDG,792and3,EU,EX,OTS,CP,NSA
SETD,5plus6,EU,EX,OTS,CVM,NSA
SMGA,04plus08,EU,EX,OTS,CVM,NSA
SDNB,0plus1,EU,EX,OTS,CVM,NSA
SFMQ,7plus8C,EU,EX,OTS,CVM,NSA
SFSJ,7plus8I,EU,EX,OTS,CVM,NSA
SFXT,7plus8K,EU,EX,OTS,CVM,NSA
SMWU,84plus85,EU,EX,OTS,CVM,NSA
SJTM,68minusS,EU,EX,OTS,CVM,NSA
SMAA,87plus88C,EU,EX,OTS,CVM,NSA
SMEA,87plus88K,EU,EX,OTS,CVM,NSA
LKUP,TminusO,EU,EX,OTS,CVM,NSA
SEVP,6minusPS,EU,EX,OTS,CVM,NSA
SGMG,5minus8,EU,EX,OTS,CVM,NSA
SIVO,57plus58,EU,EX,OTS,CVM,NSA
SFJV,7plus8,EU,EX,OTS,CVM,NSA
SDTH,2plus4,EU,EX,OTS,CVM,NSA
SMYU,87plus88,EU,EX,OTS,CVM,NSA
SMCA,87plus88I,EU,EX,OTS,CVM,NSA
SDDI,TminusE,EU,EX,OTS,CVM,NSA
SHBW,TminusOE,EU,EX,OTS,CVM,NSA
SIXO,56plus59,EU,EX,OTS,CVM,NSA
SGDH,792and3,EU,EX,OTS,CVM,NSA
SETC,5plus6,EU,EX,OTS,KQ,NSA
SMFZ,04plus08,EU,EX,OTS,KQ,NSA
SFMR,7plus8C,EU,EX,OTS,KQ,NSA
SFSK,7plus8I,EU,EX,OTS,KQ,NSA
SFXU,7plus8K,EU,EX,OTS,KQ,NSA
SDNC,0plus1,EU,EX,OTS,KQ,NSA
SMWT,84plus85,EU,EX,OTS,KQ,NSA
SLZZ,87plus88C,EU,EX,OTS,KQ,NSA
SMDZ,87plus88K,EU,EX,OTS,KQ,NSA
LKUO,TminusO,EU,EX,OTS,KQ,NSA
SEVQ,6minusPS,EU,EX,OTS,KQ,NSA
SIVN,57plus58,EU,EX,OTS,KQ,NSA
