cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ,PERIOD
SEVW,6lessPS,B5,EX,BOP,CP,SA,A
SEVW,6lessPS,B5,EX,BOP,CP,SA,M
SEVW,6lessPS,B5,EX,BOP,CP,SA,Q
SEWA,6lessPS,B5,EX,BOP,CVM,SA,A
SEWA,6lessPS,B5,EX,BOP,CVM,SA,M
SEWA,6lessPS,B5,EX,BOP,CVM,SA,Q
SEVT,6lessPS,B5,EX,BOP,IDEF,SA,A
SEVT,6lessPS,B5,EX,BOP,IDEF,SA,M
SEVT,6lessPS,B5,EX,BOP,IDEF,SA,Q
SEXH,6lessPS,B5,IM,BOP,CP,SA,A
SEXH,6lessPS,B5,IM,BOP,CP,SA,M
SEXH,6lessPS,B5,IM,BOP,CP,SA,Q
SEXL,6lessPS,B5,IM,BOP,CVM,SA,A
SEXL,6lessPS,B5,IM,BOP,CVM,SA,M
SEXL,6lessPS,B5,IM,BOP,CVM,SA,Q
SEXE,6lessPS,B5,IM,BOP,IDEF,SA,A
SEXE,6lessPS,B5,IM,BOP,IDEF,SA,M
SEXE,6lessPS,B5,IM,BOP,IDEF,SA,Q
SEYO,6lessPS,D5,EX,BOP,CP,SA,A
SEYO,6lessPS,D5,EX,BOP,CP,SA,M
SEYO,6lessPS,D5,EX,BOP,CP,SA,Q
SEYS,6lessPS,D5,EX,BOP,CVM,SA,A
SEYS,6lessPS,D5,EX,BOP,CVM,SA,M
SEYS,6lessPS,D5,EX,BOP,CVM,SA,Q
SEYL,6lessPS,D5,EX,BOP,IDEF,SA,A
SEYL,6lessPS,D5,EX,BOP,IDEF,SA,M
SEYL,6lessPS,D5,EX,BOP,IDEF,SA,Q
SEZZ,6lessPS,D5,IM,BOP,CP,SA,M
SEZZ,6lessPS,D5,IM,BOP,CP,SA,Q
SFAD,6lessPS,D5,IM,BOP,CVM,SA,A
SFAD,6lessPS,D5,IM,BOP,CVM,SA,M
SFAD,6lessPS,D5,IM,BOP,CVM,SA,Q
SEZW,6lessPS,D5,IM,BOP,IDEF,SA,A
SEZW,6lessPS,D5,IM,BOP,IDEF,SA,M
